stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
32909,152199,Kiwalegaon,,18.65769,73.72222,,,,,,
32910,154566,Tapkirnagar Rahatni,,18.61209,73.78433,,,,,,
32911,153430,Poultry Farm Anisha,,18.40457,73.68237,,,,,,
32912,152830,Model Colony,,18.52936,73.83847,,,,,,
32913,151634,Inam Aali,,18.63206,73.67922,,,,,,
32914,152632,Mangdenagar,,18.46123,73.84188,,,,,,
32917,154261,Shiwarkar Garden,,18.4986,73.90048,,,,,,
32918,153460,Power House Fursungi,,18.47667,73.95716,,,,,,
32919,154149,Shindevasti Burkegaon,,18.61733,74.11568,,,,,,
32921,151655,Indraprabha,,18.66593,73.72848,,,,,,
32922,151033,Dnyaneshwar Society,,18.48304,73.84996,,,,,,
32923,153867,Sai Palace,,18.45563,73.87137,,,,,,
32924,154707,Vadacha Stop,,18.4915,73.81518,,,,,,
32928,154169,Shiroli,,18.82867,73.87685,,,,,,
32929,150898,Daulat Garden,,18.50325,73.76091,,,,,,
32930,150421,Bhagvatinagar,,18.54231,73.77708,,,,,,
32931,153142,Osade Phata,,18.38954,73.68879,,,,,,
32932,153638,Rajaram Pul Corner,,18.48895,73.82703,,,,,,
32936,151519,Handewadigaon,,18.45311,73.93271,,,,,,
32937,153905,Sambhaji Chowk,,18.64928,73.77004,,,,,,
32938,151605,HRA Reliance,,18.52803,73.77757,,,,,,
32939,150537,Bhosalevasti Uruli Kanchan,,18.48779,74.11622,,,,,,
32940,151462,Gujarwadi,,18.42671,73.87555,,,,,,
32942,153816,Sadhana Vidyalay,,18.50567,73.93849,,,,,,
32943,153064,Nehrunagar Corner,,18.63035,73.81956,,,,,,
32944,152125,Khadakwasla Dharan Stores,,18.45008,73.76367,,,,,,
32945,152765,Mhalunge Phata Chakan,,18.755,73.80854,,,,,,
32946,150456,Bhandari Company,,18.83868,73.88049,,,,,,
32948,150841,Dandekar Pul,,18.50112,73.84653,,,,,,
32949,150780,CNG Pump Corner,,18.66434,73.82448,,,,,,
32952,152370,Lakshminagar Corner,,18.49164,73.84987,,,,,,
32953,155011,Yadavvasti Prayagdham,,18.49589,74.11937,,,,,,
32954,150386,Bankarvasti,,18.67124,73.84833,,,,,,
32955,150169,Anand Ashram,,18.682,74.04225,,,,,,
32956,150184,Anand Nagar Sinhagad Road,,18.47882,73.82445,,,,,,
32957,151036,Donajegaon Phata,,18.41227,73.76665,,,,,,
32959,150617,BU Bhandari Showroom,,18.60178,73.75375,,,,,,
32960,152933,Munjabavasti,,18.589,73.89215,,,,,,
32961,152838,Mohammadwadigaon,,18.46988,73.92146,,,,,,
32963,152839,Mohammadwadi Shala,,18.46821,73.92015,,,,,,
32964,152172,Khed Shivapur,,18.34701,73.84955,,,,,,
32965,152635,Mangdewadi Phata,,18.43463,73.85981,,,,,,
32966,155005,Wireless Office,,18.54173,73.82479,,,,,,
32968,151946,Kalyani Forge,,18.71735,73.84932,,,,,,
32970,154645,Toll Naka,,18.7392,73.7481,,,,,,
32971,151635,Inamdarvasti Rahutwadi,,18.51995,73.69618,,,,,,
32972,154856,Vipraj Company,,18.7168,73.67803,,,,,,
32973,153959,Santkrupa Fabrication,,18.60692,73.72363,,,,,,
32974,151270,Ganpati Mandir Sambhajinagar,,18.66326,73.79832,,,,,,
32975,153888,Sakal Office Vadaki,,18.42513,73.98222,,,,,,
32981,153898,Samadhi Mandir,,18.56517,73.77328,,,,,,
32983,153549,Pune Station,,18.52739,73.87307,,,,,,
32984,152026,Kasba Peth Police Chowky,,18.51978,73.8562,,,,,,
32985,152201,Kodhanpur Phata,,18.34883,73.8516,,,,,,
32986,154795,Varvegaon,,18.30393,73.87019,,,,,,
32987,152899,Mugawade,,18.54273,73.62853,,,,,,
32989,151329,Ghat Utar Valan,,18.40085,73.85702,,,,,,
32990,152203,kohima line,,18.67349,73.76413,,,,,,
32991,152348,Labour Office,,18.53521,73.85135,,,,,,
32992,150452,Bham,,18.80501,73.8727,,,,,,
32994,150704,Cheladi Phata,,18.26593,73.88186,,,,,,
32995,154740,Vadgaonmawal Phata,,18.7284,73.65482,,,,,,
24804,137874,Vitthal Mandir Mhasolkar,,18.63325,73.81236,,,,,,
32996,153681,Rakshevasti,,18.57578,73.70999,,,,,,
32997,154791,Vardade Phata,,18.38947,73.70037,,,,,,
32998,153790,Royal Park,,18.49616,73.83166,,,,,,
32999,150598,Boratevasti Nasik Road,,18.66519,73.84878,,,,,,
33000,150885,Dattanagar Katraj Road,,18.44939,73.84964,,,,,,
33001,154802,Vasantbaug Chowk,,18.4808,73.86168,,,,,,
33002,151872,Kadus Phata,,18.84749,73.88426,,,,,,
33003,153474,Power House Padmawati,,18.47681,73.85097,,,,,,
33004,153141,Osade Phata,,18.38953,73.68883,,,,,,
33006,152099,Kendriya Vidyalay Lohgaon,,18.59181,73.91704,,,,,,
33007,151515,Hadapsargaon,,18.50167,73.93307,,,,,,
33008,151723,Jagdhmba Hotal,,18.57737,73.78758,,,,,,
33010,151651,Indoorance System Chakan Mhalunge,,18.74243,73.80676,,,,,,
33012,153244,Parvatigaon,,18.49744,73.85098,,,,,,
33013,153538,pumpung Station Medi Point,,18.5637,73.79675,,,,,,
33014,153961,Santnagar,,18.64686,73.84565,,,,,,
33015,154772,Vallabhnagar ST Stand,,18.6152,73.81681,,,,,,
33016,153883,Sai Washing Center,,18.6263,73.68103,,,,,,
33018,151555,Hill Hila,,18.4527,73.88352,,,,,,
33019,150867,Dattamandir Narhe Road,,18.45604,73.81987,,,,,,
33020,151401,Gokulnagar Katraj Kondhwa Road,,18.44989,73.8757,,,,,,
33021,153341,Petrol Pump Dhanora,,18.67009,73.91917,,,,,,
33022,154009,Satavvasti,,18.53517,73.70593,,,,,,
33023,152807,Mile Dagad Kramank 9,,18.50704,73.78536,,,,,,
33024,153965,Santoshi Mata Mandir Alandi,,18.67648,73.90238,,,,,,
33025,153039,NCL Colony,,18.53987,73.81655,,,,,,
33026,151493,Gurukrupa Hospital,,18.60304,73.73096,,,,,,
33027,152930,Mundhwa Shala,,18.53419,73.92866,,,,,,
33028,152220,Kondhwa Bk,,18.45419,73.89066,,,,,,
33029,153531,Pulachiwadi,,18.32365,73.85479,,,,,,
33030,154008,Satavvasti,,18.53504,73.70577,,,,,,
33032,151955,Kamala Nehru Hospital,,18.52201,73.86132,,,,,,
33033,153465,Power House Indrayninagar,,18.63161,73.831,,,,,,
33034,154315,Sindhunagar,,18.65588,73.77098,,,,,,
33035,152288,Ksb Chowk,,18.65113,73.80986,,,,,,
33038,152341,Kusgaon,,18.33112,73.82032,,,,,,
33039,154786,Vanwadi Corner,,18.49848,73.89532,,,,,,
33040,151874,Kadvasti Undri,,18.46207,73.91367,,,,,,
33041,151528,Hanumannagar,,18.5261,73.83169,,,,,,
33043,154497,Swarajnagari,,18.72916,73.65812,,,,,,
33045,155016,Yamunanagar Corner,,18.6642,73.7867,,,,,,
33047,152853,Moi Phata,,18.68243,73.81922,,,,,,
33048,154548,Talyacha Matha,,18.71437,73.77271,,,,,,
33049,154175,Shitalbaug,,18.61572,73.84622,,,,,,
33050,151760,Jakat Naka Saswad,,18.36472,74.02314,,,,,,
33051,155055,Zendemala,,18.70212,73.75998,,,,,,
33053,151638,Inamdarvasti Solapur Road,,18.48786,74.11226,,,,,,
33054,152131,Khadi Machine Hinjawadi Road,,18.57668,73.71186,,,,,,
33055,151919,Kalimata Mandir,,18.62855,73.78495,,,,,,
33056,154727,Vadgaon BK Phata,,18.46716,73.81937,,,,,,
33057,154096,Shasakiya Vishramgruha Paudgaon,,18.52421,73.60775,,,,,,
33058,152626,Mandharevasti,,18.39887,73.76855,,,,,,
33059,153059,Nehrunagar,,18.62958,73.81933,,,,,,
33062,154751,Vadkinala,,18.43626,73.97736,,,,,,
33063,151692,Ingalevasti,,18.46587,73.77693,,,,,,
33064,150954,Detwayalar Company,,18.51375,73.69503,,,,,,
33066,151221,Ganeshnagar Dhayari,,18.44885,73.81066,,,,,,
33067,153838,Saibaba Mandir Karvenagar,,18.49517,73.83073,,,,,,
33068,153925,Sane Chowk,,18.66716,73.79615,,,,,,
33070,152252,Kothrud Depot,,18.50805,73.79473,,,,,,
33071,151211,Ganeshnagar Alandi Road,,18.59735,73.87336,,,,,,
33072,153112,Nirma Company,,18.64596,73.88048,,,,,,
33075,150131,Ambedkarnagar Baner,,18.55519,73.79587,,,,,,
33077,150231,ARDL Gate,,18.53793,73.80203,,,,,,
33078,150237,Army College,,18.52979,73.90829,,,,,,
33080,154998,West Wing Society,,18.54822,73.77373,,,,,,
33081,152575,Malwadi Dehu,,18.7115,73.76102,,,,,,
33084,151250,Ganganagar Saswad Road,,18.48669,73.95253,,,,,,
33085,153667,Rajmudra Society,,18.46256,73.85319,,,,,,
33086,153051,NDA Gol Market,,18.46738,73.76437,,,,,,
33087,154782,Vanaj Corner,,18.50774,73.80817,,,,,,
33089,150632,Burma Shell,,18.57797,73.9031,,,,,,
33090,151355,Ghulevasti Manjari,,18.52522,73.95974,,,,,,
33091,152021,Kasarsai Karkhana Phata,,18.62902,73.67595,,,,,,
33092,152855,Mominpura,,18.50804,73.86238,,,,,,
33093,154724,Vadgaon BK Highway,,18.46626,73.817,,,,,,
16709,118487,Bahirwade Kridangan,,18.66176,73.80792,,,,,,
33094,152978,Nanded City,,18.45709,73.80149,,,,,,
33095,154473,Suskhind Phata Sus Road,,18.54729,73.77274,,,,,,
33097,152796,Mile Dagad Kramank 21 Diveghat,,18.42112,73.98888,,,,,,
33099,154460,Surgeon Quarters,,18.55427,73.85664,,,,,,
33100,151809,Jilha Parishad,,18.5238,73.86994,,,,,,
33101,154371,Sortapwadi,,18.48797,74.09902,,,,,,
33103,154066,Shanipar,,18.51223,73.85378,,,,,,
33104,152345,Kutalevasti,,18.56226,74.04708,,,,,,
33105,153340,Peth,,18.34737,73.75745,,,,,,
33106,154297,Siddhivinayak Vastu,,18.48257,73.93145,,,,,,
33108,151183,Gandharvanagari,,18.6482,73.85063,,,,,,
33109,150235,ARDL Office,,18.53801,73.80232,,,,,,
33110,152106,Kendurgaon,,18.78274,74.04112,,,,,,
33111,154132,Shikshaknagar,,18.51023,73.80332,,,,,,
33112,153846,Sai Chowk Navi sangvi,,18.57861,73.81603,,,,,,
33113,151904,Kale Colony,,18.49575,73.93293,,,,,,
33114,153322,PCP College Chowk,,18.65052,73.76304,,,,,,
33115,151316,General Motors,,18.78927,73.69447,,,,,,
33116,151361,Girls Hostel,,18.47361,73.9317,,,,,,
33117,152983,Nandgude Shala,,18.58246,73.78335,,,,,,
33118,154174,Shitaladevi Chowk Pimplegurav,,18.58198,73.82998,,,,,,
33119,152111,Keshavnagar Chowk,,18.53201,73.93722,,,,,,
33120,154908,Vitthal Mandir Hadapsar,,18.50801,73.94165,,,,,,
33121,153081,Newale Chowk,,18.66424,73.80707,,,,,,
33123,151418,Goodluck Chowk,,18.5176,73.84146,,,,,,
33124,151813,Jilha Parishad Shala,,18.34714,73.7928,,,,,,
33125,154857,Vipraj Company,,18.71699,73.67827,,,,,,
33126,150186,Anand Park,,18.55592,73.80915,,,,,,
33128,150974,Dhangarvasti,,18.50755,74.11239,,,,,,
33129,154827,Vetalbaba Chowk,,18.5291,73.83076,,,,,,
33130,153290,Patrakarnagar,,18.52419,73.82777,,,,,,
33133,154643,Tolani Institute,,18.73805,73.73079,,,,,,
33137,150900,Daulatnagar Dhankawadi Road,,18.46392,73.85662,,,,,,
33138,153958,Sant Gadge Maharaj Shala,,18.5343,73.88576,,,,,,
33139,154689,United Western Sabhagrugha,,18.4932,73.8278,,,,,,
33140,152897,MSB Pumping Station,,18.5375,73.79626,,,,,,
33141,153948,Sangvi Phata,,18.57354,73.80623,,,,,,
33145,152625,Mandai Stand,,18.51513,73.85637,,,,,,
33146,151782,Jawalgaon,,18.59117,73.6107,,,,,,
33147,154150,Shindevasti Burkegaon,,18.61906,74.11154,,,,,,
33149,152017,Kasarsai,,18.62783,73.67857,,,,,,
33150,152593,Manajinagar,,18.45346,73.82444,,,,,,
33151,154278,Shreeman Society,,18.49205,73.82024,,,,,,
33152,153842,Saibaba Mandir Materewadi,,18.56781,73.66213,,,,,,
386,30018,Ma Na Pa,,18.52382,73.85411,,,,,,
33155,151171,Gajanan Maharaj Mandir Alandi Road,,18.63188,73.87263,,,,,,
33158,154377,Spicer College,,18.56283,73.81808,,,,,,
33159,154681,Udaybaug,,18.51118,73.9071,,,,,,
33161,152583,Malwadi Markal Road,,18.65456,74.01468,,,,,,
33162,151940,Kalukh Shetmala,,18.68075,74.04199,,,,,,
33163,153625,Railway Gate Uralikanchan,,18.49526,74.12448,,,,,,
33164,154137,Shinde Chhatri,,18.49262,73.89436,,,,,,
33165,152232,Kondhwa Kh,,18.47281,73.88916,,,,,,
33166,151295,Gaurdroom,,18.56602,73.89527,,,,,,
33168,152568,Malkhed,,18.39322,73.70283,,,,,,
33170,150768,Chutkevasti,,18.50128,73.74458,,,,,,
33171,151428,Gorhe Bk Shala,,18.41797,73.75788,,,,,,
33172,151196,Ganeshmala,,18.49641,73.83877,,,,,,
33173,151854,Jyoti English School,,18.63053,73.82387,,,,,,
33174,154283,Shreenagar,,18.60796,73.78102,,,,,,
33175,152258,Kousarbaug,,18.47785,73.89093,,,,,,
33176,152826,MM School,,18.61493,73.78552,,,,,,
33177,152350,Ladies Hostel,,18.46121,73.87743,,,,,,
33178,151933,Kalubai Mandir Ramtekdi,,18.5064,73.90663,,,,,,
33179,151956,Kamala Nehru Hospital,,18.52256,73.8622,,,,,,
33180,154762,Vajewadi Chaufula,,18.71582,74.04668,,,,,,
33183,153833,Sahwas Corner,,18.49262,73.81838,,,,,,
33184,152557,Mahindra Company,,18.6285,73.80752,,,,,,
33185,152924,Mundhwa Gaon,,18.53252,73.93281,,,,,,
33186,153954,Sant Company,,18.51763,73.64394,,,,,,
33187,154411,Station Family Camp,,18.52324,73.88685,,,,,,
33188,151686,Ingale Hospital,,18.61879,73.79274,,,,,,
33189,153897,Salve Garden,,18.45826,73.87797,,,,,,
33190,152006,Karvenagar Corner,,18.48907,73.81523,,,,,,
33191,152631,Mandvi Kh,,18.41423,73.70907,,,,,,
33192,152921,Mundhwagaon,,18.53284,73.93369,,,,,,
33193,153896,Salve Garden,,18.458,73.87794,,,,,,
33195,153314,Pawarvasti Chikhali Road,,18.66682,73.81499,,,,,,
33196,155058,Zendewadi,,18.41524,74.00554,,,,,,
33198,152072,Kawdewadi,,18.53787,73.89256,,,,,,
33200,154105,Shatrunjay Mandir,,18.45058,73.87961,,,,,,
33201,154797,Vasantbaug,,18.4809,73.86145,,,,,,
33202,154678,U Co Bank,,18.47903,73.89065,,,,,,
33204,151597,Hotel Rajyog,,18.54879,73.66851,,,,,,
437,30002,Bhairav Nagar,,18.58269,73.88313,,,,,,
33207,151843,Juna Pulgate,,18.50586,73.87846,,,,,,
440,30005,Dhanori Gaon,,18.59544,73.89438,,,,,,
33208,150400,Bavdhangaon,,18.51539,73.78214,,,,,,
441,30006,Dhanori Shala,,18.59212,73.89052,,,,,,
33210,150769,Cipla Center,,18.48546,73.79801,,,,,,
442,30007,Gokul Nagar,,18.58775,73.88701,,,,,,
33211,150554,Bhumkarnagar,,18.4493,73.83435,,,,,,
33212,154698,Urawdegaon,,18.48602,73.66415,,,,,,
444,30009,Holkar Pool,,18.55511,73.86073,,,,,,
33213,153963,Santnagar MIDC Police Station,,18.65076,73.83988,,,,,,
33214,154564,Tapkirnagar Moshi Road,,18.67313,73.88815,,,,,,
446,30011,Jakatnaka,,18.59726,73.90644,,,,,,
447,30012,Kamal Park,,18.59738,73.90085,,,,,,
33220,151424,Gopi Chal,,18.56754,73.83888,,,,,,
33222,152208,Kokate Aali,,18.53898,73.79381,,,,,,
33226,150133,Ambedkarnagar Pimplegurav,,18.59244,73.81902,,,,,,
33227,150380,Baner Phata,,18.54988,73.80976,,,,,,
460,30027,Sathe Biscuit,,18.57055,73.87889,,,,,,
33228,152303,Kudje Shala,,18.42745,73.73997,,,,,,
461,30028,Sathe Nagar,,18.59743,73.91482,,,,,,
33229,153929,Sanewadi,,18.55338,73.80947,,,,,,
33231,153736,Ranwarevasti,,18.54809,73.77054,,,,,,
33232,154447,Sundarban,,18.44902,73.87001,,,,,,
467,30034,Swargate,,18.49928,73.85817,,,,,,
33235,153143,Oskar Company,,18.51115,73.68414,,,,,,
469,30036,Abhinav College,,18.50589,73.85295,,,,,,
33237,154155,Shindevasti Mundhwa,,18.53109,73.94036,,,,,,
33239,152638,Manikchand Dhariwal Sinhagad College,,18.48997,73.79149,,,,,,
33240,150890,Dattawadi,,18.50117,73.83927,,,,,,
474,30041,Fergusson College,,18.523,73.84086,,,,,,
475,30042,Dyaneshwer paduka,,18.52647,73.84179,,,,,,
33244,153648,Rajendranagar,,18.50492,73.84331,,,,,,
33245,154341,SNZ Chemical Company,,18.54621,73.66554,,,,,,
478,40002,Bhairav Nagar,,18.58964,73.88847,,,,,,
33246,153688,Ramanbaug Shala,,18.51732,73.85013,,,,,,
480,40005,Dagdi Khaan,,18.57594,73.88049,,,,,,
33249,150304,Badhevasti,,18.53265,73.9345,,,,,,
33250,153643,Rajas Society Corner,,18.44817,73.86411,,,,,,
484,40009,Gokul Nagar,,18.59193,73.89057,,,,,,
33252,151810,Jilha Parishad,,18.52382,73.86996,,,,,,
33253,153121,North Len,,18.53787,73.89255,,,,,,
33254,152062,Katraj,,18.44749,73.85961,,,,,,
486,40011,Holkar Pool,,18.55468,73.86025,,,,,,
33255,152351,Ladies Hostel,,18.46124,73.87744,,,,,,
488,40013,Jakatnaka,,18.59716,73.9064,,,,,,
33256,151701,ITI Saswad Road,,18.38886,74.01463,,,,,,
33257,153072,Nehru Stadium,,18.50111,73.85551,,,,,,
33258,154247,Shivtarwadi Phata,,18.34364,73.77402,,,,,,
491,40017,Madhav Nagar,,18.59709,73.90062,,,,,,
33259,152512,Mahadevnagar Hingne,,18.47509,73.82917,,,,,,
33260,152648,Manjari Kh,,18.52755,73.99169,,,,,,
33262,150438,Bhairoba Pumping Station,,18.53914,73.90161,,,,,,
494,40021,Modern High School,,18.52476,73.84938,,,,,,
33263,150872,Dattamandir Shivapurgaon,,18.33927,73.83874,,,,,,
33264,151437,Govind Garden Chowk,,18.59761,73.80292,,,,,,
33265,155029,YCM Hospital,,18.62332,73.81844,,,,,,
33266,152134,Khadi Machine Katraj Kondhwa Road,,18.45293,73.89095,,,,,,
33267,151804,Jijamata Chowk,,18.72157,73.68445,,,,,,
33268,150976,Dhankawadi,,18.4654,73.85014,,,,,,
33269,151366,Godambevasti,,18.54159,73.67984,,,,,,
503,40030,Sathe Biscuit,,18.57032,73.87904,,,,,,
33271,151445,GPO,,18.52302,73.87637,,,,,,
33272,152823,Mitti Ka Ghar,,18.51912,73.88225,,,,,,
505,40032,Torna garden,,18.59805,73.90883,,,,,,
33273,151699,ITI Aundh,,18.56027,73.80913,,,,,,
33277,150853,Darshan Hall,,18.62952,73.78686,,,,,,
33278,151374,Godown Katraj Kondhwa Road,,18.4539,73.88593,,,,,,
33280,153637,Rajaram Pul Corner,,18.48935,73.82672,,,,,,
33282,151175,Gajanan Maharajnagar,,18.46325,73.87756,,,,,,
33283,153698,Ramnagari,,18.44888,73.84316,,,,,,
516,30001,Ambedkar Society,,18.553,73.87375,,,,,,
33284,153956,Sant Dharmaji Samadhi,,18.42667,73.75416,,,,,,
517,30004,Deccan College,,18.54993,73.8718,,,,,,
33285,152743,MES Canteen IAT,,18.43152,73.76945,,,,,,
518,30010,Homeguard,,18.55623,73.87517,,,,,,
33286,153528,PAndT Colony,,18.4925,73.86941,,,,,,
519,30017,Mental Hospital,,18.56651,73.87875,,,,,,
33287,150527,Bhondvevasti Nagar Road,,18.69855,74.04476,,,,,,
520,30023,Phule Nagar,,18.5599,73.87644,,,,,,
33288,150020,5 Wa Mile,,18.56229,73.92295,,,,,,
521,40001,Ambedkar Society,,18.55273,73.87366,,,,,,
522,40006,Deccan College,,18.55009,73.87197,,,,,,
33291,150941,Dehuroad Police Lane,,18.68631,73.72218,,,,,,
524,40019,Mental Hospital,,18.5662,73.87865,,,,,,
33293,153483,Prachi Apartment,,18.64573,73.77032,,,,,,
525,40026,Phule Nagar,,18.55958,73.87642,,,,,,
526,30021,Panyachi Taki,,18.59754,73.91975,,,,,,
33294,153773,Rihegaon,,18.57676,73.64174,,,,,,
527,40024,Panyachi Taki,,18.59746,73.9209,,,,,,
33295,153857,Sai Corner,,18.59212,73.89209,,,,,,
528,40012,Homeguard,,18.55588,73.87515,,,,,,
33296,153247,Parvati Gaon,,18.49366,73.85034,,,,,,
33298,154550,Tamhane Chowk,,18.56173,73.7923,,,,,,
33299,151974,Karachi Chowk,,18.62123,73.80167,,,,,,
33300,152847,Mohitevasti,,18.63789,73.74461,,,,,,
33301,153405,Police Chowky,,18.3468,74.02939,,,,,,
33302,153540,Punawale,,18.63905,73.7477,,,,,,
535,30050,Ganesh Nagar Corner,,18.59757,73.87317,,,,,,
33303,152045,Kate Patil Chowk,,18.59909,73.80781,,,,,,
33304,150896,Dattawadi Mhasoba Chowk,,18.50151,73.83915,,,,,,
33305,151025,Dnyanesh Society,,18.478,73.79827,,,,,,
537,30052,Walake Mala,,18.60666,73.87335,,,,,,
33306,152690,Maruti Mandir Wes,,18.52357,73.98532,,,,,,
