Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,0,0,0,0,3,0,0,0,0
1,5,0,6,2,9,4,7,13,2
0,0,0,1,0,1,0,0,2,0
1,5,0,5,0,2,5,1,4,1
0,0,0,3,0,1,5,0,3,1
0,2,0,5,0,1,2,0,9,1
3,7,1,45,12,8,27,5,22,4
0,0,0,0,0,0,1,0,2,1
0,0,0,0,0,0,0,0,0,0
0,3,0,7,0,3,4,6,9,0
7,3,3,27,7,6,15,10,13,4
0,0,0,0,0,1,1,0,1,0
0,0,0,2,0,0,5,0,3,0
1,5,0,7,3,3,4,4,3,4
0,0,0,0,0,0,2,0,0,0
2,3,0,24,4,7,21,7,11,11
0,1,0,3,0,0,2,3,1,2
0,8,0,3,0,0,0,0,0,0
1,6,0,10,1,10,3,12,25,1
0,0,0,2,0,0,10,0,7,0
1,1,0,12,1,3,5,5,13,4
8,11,3,20,3,4,22,7,17,4
3,4,0,10,3,5,9,2,11,4
0,1,0,3,0,0,2,3,3,0
1,5,0,8,3,5,4,3,21,3
0,2,0,5,0,1,2,0,9,1
8,12,3,23,5,4,22,8,15,4
0,4,0,4,0,1,4,1,3,0
1,0,0,1,0,0,0,0,2,0
0,0,0,0,0,0,3,0,0,0
0,0,0,4,0,3,1,2,2,2
2,12,0,12,0,9,11,5,4,2
1,5,0,8,3,5,4,3,21,3
0,4,0,5,1,2,12,2,5,1
0,0,0,4,0,1,1,2,4,0
3,12,0,29,4,5,26,8,11,7
0,0,0,1,0,1,0,0,0,0
0,1,0,9,1,0,2,7,4,1
3,5,1,32,1,4,4,4,3,3
0,0,0,0,0,0,0,0,1,0
0,2,0,8,1,3,4,4,7,2
8,11,3,39,4,4,21,8,19,11
0,3,0,4,0,3,6,3,5,0
2,1,0,7,0,0,5,0,11,0
0,1,0,0,0,0,0,0,0,0
0,3,0,6,0,4,6,4,5,0
1,3,0,6,1,0,4,2,16,3
0,0,0,0,0,0,0,0,0,0
4,3,1,18,6,4,17,1,8,3
0,5,0,10,1,1,3,8,5,7
6,15,0,21,4,13,6,2,7,2
3,1,0,4,1,4,15,11,21,3
0,2,0,10,3,4,2,3,14,3
0,0,0,1,0,0,0,0,0,0
3,3,0,12,2,6,3,6,19,2
0,5,0,1,0,0,0,1,0,0
4,4,0,12,4,3,7,5,11,5
0,0,0,1,0,0,1,0,1,0
4,6,0,12,2,3,5,4,10,4
0,1,0,4,1,4,7,5,17,2
0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,1,9,2,9,0
2,1,0,7,0,1,5,0,12,0
0,0,0,4,0,1,4,2,2,0
0,4,0,4,0,1,5,1,5,0
0,0,0,3,0,0,0,0,1,0
0,1,0,4,1,1,1,0,2,2
2,2,1,6,1,3,7,8,13,2
0,1,0,4,5,8,9,9,13,0
2,1,0,8,0,1,7,0,13,1
0,0,0,5,1,3,4,1,4,1
3,26,0,65,9,11,24,8,23,9
2,3,0,19,6,4,18,9,6,11
0,0,0,0,0,0,0,0,0,0
1,12,0,30,7,3,13,8,3,5
0,0,0,1,0,0,0,1,0,1
2,1,0,6,0,1,6,0,12,1
6,8,0,47,13,6,14,8,13,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,5,0,5,0,2,5,1,4,1
1,5,0,7,3,3,2,4,2,4
1,3,2,47,4,8,11,7,23,6
4,2,0,13,5,3,26,2,6,4
0,1,0,6,0,3,4,2,13,1
9,17,0,26,4,4,3,5,11,6
0,1,0,5,1,0,1,2,8,2
0,0,0,1,0,0,2,0,0,0
0,1,0,8,0,3,5,2,5,2
0,1,0,4,0,3,3,1,14,1
2,1,0,3,0,2,6,4,7,3
0,0,0,0,0,0,0,0,0,0
1,0,0,6,3,8,4,2,4,2
0,0,0,4,0,1,0,2,3,0
0,0,0,0,0,0,1,0,1,0
2,2,0,11,1,3,2,2,13,4
0,2,0,5,0,1,1,0,9,1
1,3,0,9,1,6,4,10,19,1
0,0,0,0,0,0,1,0,3,1
4,2,0,33,5,5,4,5,5,5
0,0,0,0,0,0,0,0,0,0
0,3,0,4,2,4,4,5,6,5
6,2,0,26,4,6,19,6,11,11
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6,3,0,24,4,6,22,8,10,12
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5,5,0,27,2,4,3,5,9,4
1,3,2,47,4,8,11,7,23,6
0,6,0,9,0,3,4,9,17,0
0,1,0,5,1,1,8,2,2,2
3,5,0,4,1,5,2,2,1,3
1,1,0,6,1,2,8,0,11,1
0,0,0,1,0,0,0,0,0,0
0,0,0,3,0,1,8,0,5,1
6,1,0,20,4,6,22,6,10,11
3,4,0,29,5,4,10,11,6,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,0,7,1,4,7,8,11,7
0,4,0,7,0,1,4,3,14,0
0,0,0,1,0,0,1,0,3,1
